,电影名称,评论人,星级,评论时间,题目,评论内容,有用,没用,回应,地理位置,情绪
0,变形金刚3的影评 (1590),漫科,1,2011-07-08 02:11:09,麦克贝你丫给我站住！ 3d眼镜柄狂插你眼！,这篇影评可能有剧透                        很多人怕，说你不要写变3影评了，我怕看完遭受剧透，我说，都丫根没剧情，有啥剧透可言。  这里还是有必要讨论一下本人的状态，以表立场无碍。  首先，我记得当初看《喜羊羊》动画片电影版，看《风云2》电影版，即使是最最烂的《无极》，或者《三枪》，我也是耐心、尊重地看到...                     ,2568.0,279.0,563回应,SNOWMAN,0.2876345890679868
1,变形金刚3的影评 (1590),李胶囊,1,2011-07-08 02:11:09,迈克尔贝你这是作死啊,这篇影评可能有剧透                        本戏的主要剧情进展表  开场  扯淡   扯淡  放大妞儿出来卖肉  扯淡  放大妞儿出来卖肉  联想广告  打  放大妞出来换衣服  伊利广告  扯淡  思科广告  扯淡  打  放大妞儿出来卖肉  打  放大妞儿出来卖肉  打  放大妞儿出来卖肉  打  打  打  大妞最后再卖个肉  木有了      霸...                     ,1651.0,150.0,483回应,"Firenze, Italy",0.20410726096518372
2,变形金刚3的影评 (1590),狒狒,1,2011-07-08 02:11:09,记念变形金刚3,真的猛士，敢于直面惨淡的人生，敢于正视推迟的档期。这是怎样的哀痛者和幸福者？然而上映又常常为庸人设计，以时间的流驶，来洗涤电影，仅使留下无谓的拖延和微末的悲哀。在这无谓的拖延和微末的悲哀中，又给某电影暂得票房，维持着这似人非人的影院。我不知道这样的影院何...                     ,566.0,142.0,120回应,江西南昌,0.5996159438161192
3,变形金刚3的影评 (1590),KILL88,1,2011-07-08 02:11:09,看完变3来详细介绍出场的所有金刚，剧透了小心,买拷贝说，世界上有300个专家，上亿的粉丝，我拍这个电影是给粉丝看的，不是给那300个人看的。  说的太好了，机器人烈战电影要什么深度，爽就行。喜欢深度的话，请自行回家观看奥斯卡名至实归最佳影片《拆弹部队》。  月黑之时的情节依然很简单，但是却是TF三部中最复杂的。有...                     ,292.0,25.0,57回应,,0.9417703625869721
4,变形金刚3的影评 (1590),木遥,1,2011-07-08 02:11:09,关于《变形金刚3》的几句话,1.   没有理由不看 3D IMAX 版。 2.   前半部分基本上可以看做是 Lenovo 的广告片。 2.5 片中的有钱公司人手一台 Lenovo Ideacentre，非常喜感。 3.   伊利舒化奶进了台词。不只是画面，是台词。 3.5 这款牛奶有在发展国际市场吗？为什么要下这么大血本？ 4.   机器人打斗场面...                     ,329.0,74.0,151回应,"New York City, United States",0.8866654600989344
5,变形金刚3的影评 (1590),魏知超,1,2011-07-08 02:11:09,《变形金刚3》吐槽：认真不一定会赢，但不认真一定输,废话不说，直接开始吐槽。    汽车人一登场，就是帮着美国人清除“危险势力”。虽然我很讨厌“美国人走狗”这类说法，但这回汽车人也的确是太像走狗了。当大黄蜂把一个看上去像是中东国家的军事基地连人带楼炸个稀巴烂的时候，擎天柱的画外音说：“我们帮助人类停止相互伤害”...                     ,116.0,18.0,60回应,浙江宁波,0.9489385060218528
6,变形金刚3的影评 (1590),Cedonulli,1,2011-07-08 02:11:09,坑爹的广告片 坑爹的中国奶 极少量剧透,片子很好看 劲爆剧情和一般剧情穿插 整部片子我的肾上腺激素都在不停的喷啊  妞不错 前凸后翘 不过肌肉有点壮实了 比男猪脚还高 男猪脚把她抱起来有点尴尬  镜头运用绝对是大师级 气场无比宏大  各种幽默都非常不错 特别是主角对应聘公司说奥巴马给我颁过奖章的时候那个经理说...                     ,148.0,22.0,110回应,"Melbourne, Australia",0.9566601194954149
7,变形金刚3的影评 (1590),黄兔君,1,2011-07-08 02:11:09,不管是硅基还是碳基都是基（腐向吐槽注意,这篇影评可能有剧透                        前段时间看友邻纷纷拿变3剧透报社的时候我还非常不理解，因为咱不是资深变形金刚迷只看过变1印象不错呢。 这回找了家便宜的看3D，连隐形眼镜都是临时去买的。 坐在电影院里等开场那会期待得不得了，因为满世界尤其是来的时候公交车上都是变3预告片。大号基甲打得火热怎么也不会...                     ,58.0,4.0,10回应,"London, United Kingdom",0.03504464561361442
8,变形金刚3的影评 (1590),[已注销],1,2011-07-08 02:11:09,伤感的电影,上个月最后一天朋友介绍认识了一个女孩，我看她第一眼感觉挺好，她长的不错，人也挺随和的，我挺喜欢，希望能和她在一起。 见面后，听朋友说她对我印象也不错。 她虽然单身，但生活过挺悠然的，她家就她一个女孩，家里条件不错，经常和朋友一起聚聚，喜欢吃火锅、喝奶茶，喜欢...                     ,65.0,15.0,51回应,已注销,0.9953128813499547
9,变形金刚3的影评 (1590),陈朝,1,2011-07-08 02:11:09,“针对霸天虎的战略，我谈几点看法”,一般的吐槽就略过了，我最惊讶的是霸天虎居然输了，稍作回想，就能发现他们的一系列愚蠢的失误。针对他们的战略，我谈几点看法：  第一，任何阴谋不可过于复杂，实际上任何计划都不能过于复杂。这一次霸天虎的计划复杂度极高：理解起来甚至有点困难，需要多方的配合，尤其是认...                     ,34.0,5.0,5回应,北京,0.912613933929481
10,变形金刚3的影评 (1590),李大梦,1,2011-07-08 02:11:09,你个阴谋冷血的，柱子，我终于看透你了,这篇影评可能有剧透                        这片坑爹大了，当然还是有的是人咆哮几句“伪文艺假正经go f@ck yourself，爷看得就是爽”，这种么，自己脑残去，也照样没人拦着你。  视效有，情节有，剪辑好，桥段佳，如假包换的夏季商业片，成功的又不是没有，《夺宝奇兵》《终结者》就是教科书，前些天刚看的X Men: First ...                     ,43.0,7.0,23回应,"Chicago, United States",0.9594266711925251
11,变形金刚3的影评 (1590),。。,1,2011-07-08 02:11:09,它是经典？它是经典！,《变形金刚2》在剧情上的寡淡曾让我怀疑迈克尔.贝要把这部经典玩死玩残，然后在人们的口水中数钱数到手软。大概是《变2》口碑的下滑刺激了老贝，他在这据称是收官之作的《变3》中对地球的摧残更加变态、疯狂、歇斯底里和令人发指了。但是当那场热血暴烈牛叉至极的公路大追逐展...                     ,16.0,,0回应,浙江杭州,0.9009509963040594
12,变形金刚3的影评 (1590),米周,1,2011-07-08 02:11:09,再见汽车人,看《变3》之前就已经知道，老迈已经无意继续执导《变形金刚》的续集，这就是说《变3》很有可能是我们这代关于《变形金刚》的最后回忆了。看《变3》之前就已经听说，这部片子被好多剧情控批得体无完肤，换的女主角也不合好多人的胃口。被批评整场影片只是植入广告和毫无意义的打...                     ,35.0,5.0,12回应,上海,0.6645037616567715
13,变形金刚3的影评 (1590),腾格尔,1,2011-07-08 02:11:09,原谅威震天真的脑残,很多人说对于这样的大片不能对剧情有太高要求，看看效果就可以了，但麦克贝也不能因此堂而皇之的把全球观众当2B使唤，至于效果么，除了片头赛博坦太空内战让我激动了一把，其他也就跟前两部差不多，跟阿凡达不好比。  原谅各种无聊插入式广告  原谅比变形金刚耐打许多的2B男主 ...                     ,45.0,4.0,4回应,11km,0.6252814079172263
